Number of Threads: 1
[FD_1d]:step 4000, energy = -0.6697806643782879, norm = 1.0000000000000902 + 0.0im
[FD_1d]:step 4200, energy = -0.6697806643782898, norm = 1.0000000000000924 + 0.0im
[FD_1d]:step 4400, energy = -0.669780664378292, norm = 1.0000000000000968 + 0.0im
[FD_1d]:step 4600, energy = -0.6697806643782968, norm = 1.0000000000001021 + 0.0im
[FD_1d]:step 4800, energy = -0.6697806643782989, norm = 1.0000000000001048 + 0.0im
[FD_1d]:step 5000, energy = -0.6697806643783013, norm = 1.0000000000001092 + 0.0im
[FD_1d]:step 5200, energy = -0.6697806643783047, norm = 1.0000000000001144 + 0.0im
[FD_1d]:step 5400, energy = -0.6697806643783071, norm = 1.0000000000001183 + 0.0im
[FD_1d]:step 5600, energy = -0.6697806643783104, norm = 1.000000000000123 + 0.0im
[FD_1d]:step 5800, energy = -0.6697806643783135, norm = 1.0000000000001266 + 0.0im
[FD_1d]:step 6000, energy = -0.6697806643783182, norm = 1.000000000000133 + 0.0im
[FD_1d]:step 6200, energy = -0.6697806643783202, norm = 1.0000000000001388 + 0.0im
[FD_1d]:step 6400, energy = -0.669780664378324, norm = 1.0000000000001426 + 0.0im
[FD_1d]:step 6600, energy = -0.6697806643783257, norm = 1.0000000000001452 + 0.0im
[FD_1d]:step 6800, energy = -0.6697806643783284, norm = 1.0000000000001492 + 0.0im
[FD_1d]:step 7000, energy = -0.6697806643783315, norm = 1.0000000000001539 + 0.0im
[FD_1d]:step 7200, energy = -0.6697806643783338, norm = 1.000000000000158 + 0.0im
[FD_1d]:step 7400, energy = -0.6697806643783374, norm = 1.0000000000001639 + 0.0im
[FD_1d]:step 7600, energy = -0.6697806643783409, norm = 1.000000000000168 + 0.0im
[FD_1d]:step 7800, energy = -0.6697806643783428, norm = 1.0000000000001716 + 0.0im
[FD_1d]:step 8000, energy = -0.6697806643783473, norm = 1.000000000000177 + 0.0im
[FD_1d]:step 8200, energy = -0.6697806643783506, norm = 1.0000000000001823 + 0.0im
[FD_1d]:step 8400, energy = -0.6697806643783516, norm = 1.0000000000001839 + 0.0im
[FD_1d]:step 8600, energy = -0.6697806643783548, norm = 1.0000000000001887 + 0.0im
[FD_1d]:step 8800, energy = -0.6697806643783574, norm = 1.0000000000001918 + 0.0im
[FD_1d]:step 9000, energy = -0.6697806643783603, norm = 1.0000000000001974 + 0.0im
[FD_1d]:step 9200, energy = -0.6697806643783635, norm = 1.0000000000002016 + 0.0im
[FD_1d]:step 9400, energy = -0.6697806643783664, norm = 1.0000000000002058 + 0.0im
[FD_1d]:step 9600, energy = -0.6697806643783684, norm = 1.0000000000002087 + 0.0im
[FD_1d]:step 9800, energy = -0.6697806643783728, norm = 1.0000000000002138 + 0.0im
[FD_1d]:step 10000, energy = -0.669780664378374, norm = 1.0000000000002174 + 0.0im
[FD_1d]:step 10200, energy = -0.6697806643783748, norm = 1.000000000000219 + 0.0im
[FD_1d]:step 10400, energy = -0.6697806643783789, norm = 1.000000000000225 + 0.0im
[FD_1d]:step 10600, energy = -0.6697806643783835, norm = 1.000000000000231 + 0.0im
[FD_1d]:step 10800, energy = -0.6697806643783857, norm = 1.0000000000002338 + 0.0im
[FD_1d]:step 11000, energy = -0.6697806643783873, norm = 1.0000000000002376 + 0.0im
[FD_1d]:step 11200, energy = -0.6697806643783899, norm = 1.000000000000242 + 0.0im
[FD_1d]:step 11400, energy = -0.6697806643783933, norm = 1.0000000000002471 + 0.0im
[FD_1d]:step 11600, energy = -0.6697806643783972, norm = 1.0000000000002516 + 0.0im
[FD_1d]:step 11800, energy = -0.6697806643783983, norm = 1.0000000000002545 + 0.0im
[FD_1d]:step 12000, energy = -0.669780664378402, norm = 1.0000000000002598 + 0.0im
[FD_1d]:step 12200, energy = -0.6697806643784057, norm = 1.0000000000002651 + 0.0im
[FD_1d]:step 12400, energy = -0.6697806643784082, norm = 1.0000000000002687 + 0.0im
[FD_1d]:step 12600, energy = -0.6697806643784102, norm = 1.0000000000002718 + 0.0im
[FD_1d]:step 12800, energy = -0.6697806643784135, norm = 1.0000000000002776 + 0.0im
[FD_1d]:step 13000, energy = -0.6697806643784161, norm = 1.0000000000002807 + 0.0im
[FD_1d]:step 13200, energy = -0.6697806643784191, norm = 1.0000000000002855 + 0.0im
[FD_1d]:step 13400, energy = -0.669780664378423, norm = 1.00000000000029 + 0.0im
[FD_1d]:step 13600, energy = -0.6697806643784248, norm = 1.000000000000294 + 0.0im
[FD_1d]:step 13800, energy = -0.6697806643784272, norm = 1.0000000000002973 + 0.0im
[FD_1d]:step 14000, energy = -0.6697806643784301, norm = 1.000000000000302 + 0.0im
[FD_1d]:step 14200, energy = -0.669780661460419, norm = 1.0000000000003024 + 0.0im
[FD_1d]:step 14400, energy = -0.6697806642121639, norm = 1.0000000000003009 + 0.0im
[FD_1d]:step 14600, energy = -0.6697806604418919, norm = 1.0000000000003006 + 0.0im
[FD_1d]:step 14800, energy = -0.6697805314538752, norm = 1.0000000000002989 + 0.0im
[FD_1d]:step 15000, energy = -0.6697798959122213, norm = 1.000000000000298 + 0.0im
[FD_1d]:step 15200, energy = -0.6697792053306522, norm = 1.0000000000002982 + 0.0im
[FD_1d]:step 15400, energy = -0.669779194909405, norm = 1.0000000000002998 + 0.0im
[FD_1d]:step 15600, energy = -0.6697804473220909, norm = 1.0000000000003002 + 0.0im
[FD_1d]:step 15800, energy = -0.669779145573891, norm = 1.0000000000002973 + 0.0im
[FD_1d]:step 16000, energy = -0.6697721239863202, norm = 1.0000000000002984 + 0.0im
[FD_1d]:step 16200, energy = -0.6697621661740548, norm = 1.0000000000002967 + 0.0im
[FD_1d]:step 16400, energy = -0.6697617714712999, norm = 1.0000000000002984 + 0.0im
[FD_1d]:step 16600, energy = -0.6697734768887756, norm = 1.0000000000002969 + 0.0im
[FD_1d]:step 16800, energy = -0.669779100717286, norm = 1.000000000000298 + 0.0im
[FD_1d]:step 17000, energy = -0.6697547374354795, norm = 1.0000000000003006 + 0.0im
[FD_1d]:step 17200, energy = -0.6697084157575277, norm = 1.0000000000002989 + 0.0im
[FD_1d]:step 17400, energy = -0.6696871743370297, norm = 1.0000000000003004 + 0.0im
[FD_1d]:step 17600, energy = -0.6697217817653589, norm = 1.0000000000003009 + 0.0im
[FD_1d]:step 17800, energy = -0.6697733857552706, norm = 1.000000000000302 + 0.0im
[FD_1d]:step 18000, energy = -0.6697489699866814, norm = 1.000000000000302 + 0.0im
[FD_1d]:step 18200, energy = -0.6696264475494242, norm = 1.0000000000003042 + 0.0im
[FD_1d]:step 18400, energy = -0.6695103384871043, norm = 1.0000000000003015 + 0.0im
[FD_1d]:step 18600, energy = -0.669545289345763, norm = 1.000000000000302 + 0.0im
[FD_1d]:step 18800, energy = -0.6697007833032642, norm = 1.000000000000301 + 0.0im
[FD_1d]:step 19000, energy = -0.6697671866877262, norm = 1.0000000000003002 + 0.0im
[FD_1d]:step 19200, energy = -0.6695762478329768, norm = 1.000000000000302 + 0.0im
[FD_1d]:step 19400, energy = -0.6692601074529914, norm = 1.0000000000003015 + 0.0im
[FD_1d]:step 19600, energy = -0.6691584512067534, norm = 1.0000000000003013 + 0.0im
[FD_1d]:step 19800, energy = -0.6694235443285327, norm = 1.0000000000003022 + 0.0im
[FD_1d]:step 20000, energy = -0.6697370545614262, norm = 1.0000000000003038 + 0.0im
[FD_1d]:step 20200, energy = -0.6696302405640424, norm = 1.0000000000003029 + 0.0im
[FD_1d]:step 20400, energy = -0.6690621942990547, norm = 1.0000000000003049 + 0.0im
[FD_1d]:step 20600, energy = -0.6685878246143764, norm = 1.0000000000003042 + 0.0im
[FD_1d]:step 20800, energy = -0.6687899544490206, norm = 1.0000000000003029 + 0.0im
[FD_1d]:step 21000, energy = -0.6694581304796, norm = 1.000000000000301 + 0.0im
[FD_1d]:step 21200, energy = -0.6697347158746262, norm = 1.0000000000003018 + 0.0im
[FD_1d]:step 21400, energy = -0.6690938950034178, norm = 1.0000000000003026 + 0.0im
[FD_1d]:step 21600, energy = -0.6680480920406306, norm = 1.000000000000302 + 0.0im
[FD_1d]:step 21800, energy = -0.6677697922259913, norm = 1.0000000000003015 + 0.0im
[FD_1d]:step 22000, energy = -0.668675004689379, norm = 1.0000000000003006 + 0.0im
[FD_1d]:step 22200, energy = -0.6696437087344301, norm = 1.0000000000002998 + 0.0im
[FD_1d]:step 22400, energy = -0.6693859614669894, norm = 1.0000000000002993 + 0.0im
[FD_1d]:step 22600, energy = -0.6678751149070612, norm = 1.0000000000002975 + 0.0im
[FD_1d]:step 22800, energy = -0.6666317805117817, norm = 1.0000000000002975 + 0.0im
[FD_1d]:step 23000, energy = -0.6672309558094971, norm = 1.0000000000002958 + 0.0im
[FD_1d]:step 23200, energy = -0.6689799120732995, norm = 1.000000000000294 + 0.0im
[FD_1d]:step 23400, energy = -0.6696823067745458, norm = 1.000000000000293 + 0.0im
[FD_1d]:step 23600, energy = -0.668283127459827, norm = 1.000000000000293 + 0.0im
[FD_1d]:step 23800, energy = -0.6659181889384048, norm = 1.0000000000002944 + 0.0im
[FD_1d]:step 24000, energy = -0.6653170748003454, norm = 1.0000000000002929 + 0.0im
[FD_1d]:step 24200, energy = -0.6674191547950684, norm = 1.0000000000002935 + 0.0im
[FD_1d]:step 24400, energy = -0.6694846055281736, norm = 1.000000000000295 + 0.0im
[FD_1d]:step 24600, energy = -0.6690413535631985, norm = 1.000000000000294 + 0.0im
[FD_1d]:step 24800, energy = -0.666171062869518, norm = 1.000000000000295 + 0.0im
[FD_1d]:step 25000, energy = -0.6636382643431464, norm = 1.0000000000002933 + 0.0im
[FD_1d]:step 25200, energy = -0.664894358598457, norm = 1.000000000000293 + 0.0im
